   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.44606,             0.23001,             0.18002,            0.066222,            0.066839,            0.041128,            0.022252,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.039698,             0.81008,             0.67732,              21.512,             0.82466,             0.19655,              9.7479,          0.00030512,             0.97133,             0.49204,            0.012562,             0.12043,             0.81412,                   3
             0.75947,             0.50908,              0.5304,             0.25874,            0.046094,            0.026822,           0.0090737,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032693,             0.21857,             0.57558,              2.1255,             0.78333,             0.86083,              4.9491,          0.00092428,             0.11613,            0.028196,             0.91742,             0.50455,             0.11502,                   3
             0.70182,             0.42529,              0.4472,             0.19601,            0.052247,             0.02973,            0.011403,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.064292,             0.67842,             0.36444,              32.271,             0.84194,             0.43708,              8.6708,          0.00043662,             0.21363,             0.41095,           0.0043528,             0.67209,             0.15774,                   3
             0.69528,             0.42949,             0.44351,             0.20019,            0.051563,            0.029834,              0.0113,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032918,             0.85331,             0.49617,              18.944,             0.72802,             0.86802,              1.8903,          0.00091922,             0.63776,             0.33735,             0.82471,             0.73788,            0.057589,                   3
             0.69082,             0.41828,              0.4339,             0.17651,            0.055302,            0.029121,            0.011344,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.062345,            0.071599,             0.78141,              42.195,              0.7875,             0.70046,              1.7536,          0.00061482,             0.57282,             0.30272,             0.64238,             0.14116,             0.60931,                   3
             0.80302,             0.51039,             0.54851,             0.25115,             0.04697,            0.027052,           0.0089197,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015569,             0.71549,             0.32261,              15.246,             0.13982,           0.0016591,               5.147,          0.00090203,            0.066791,             0.92601,             0.58743,            0.036064,             0.76455,                   3
             0.75708,             0.48708,             0.52119,             0.25192,            0.046809,             0.02718,           0.0092201,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015187,             0.27836,             0.68791,              20.904,             0.40774,             0.40323,              4.1197,          0.00033022,             0.42889,             0.51671,            0.037147,             0.66913,             0.51782,                   3
             0.70162,             0.41077,             0.42322,             0.19273,            0.053854,            0.030279,            0.011633,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.031652,             0.60374,              0.8353,              2.9611,             0.72554,             0.84338,              6.7521,            0.000611,             0.48758,             0.94272,            0.029061,             0.31373,             0.45848,                   3
             0.74665,             0.49022,             0.50634,              0.2374,            0.048242,            0.027569,           0.0095731,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.051086,             0.49911,            0.045705,              35.269,             0.85483,             0.38032,             0.17127,          0.00035806,             0.15565,             0.36497,             0.70899,             0.52025,              0.7344,                   3
             0.78284,              0.5273,             0.55012,             0.26937,            0.045441,            0.026384,           0.0087674,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.035374,              0.5186,             0.73071,              20.945,             0.18789,             0.50538,              9.4945,          0.00012855,            0.019492,            0.084691,             0.92343,             0.48373,             0.25887,                   3
